anilist_id,title_romaji,title_english,episodes,duration,average_score,trending,genres,description,cover_url,start_date
179966,Silent Witch: Chinmoku no Majo no Kakushigoto,Secrets of the Silent Witch,13.0,24,7.6,559,"Adventure, Fantasy","Monica Everett, the Silent Witch, is the world’s only practitioner of Voiceless Magic, a veritable heroine who single-handedly fended off the Black Dragon of legend. However, the young prodigy is actually…super-duper shy! Yup, turns out she only learned Voiceless Magic to avoid speaking in public. Ignorant of this, the Seven Sages have placed her on a top-secret mission to guard the Second Prince. Can Monica keep it together as she contends with both social interaction and the evils targeting the young royal?",https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx179966-g0EU7rVe2Og7.jpg,07-05-2025
185407,Takopii no Genzai,Takopi's Original Sin,6.0,23,8.6,528,"Drama, Psychological, Sci-Fi","A Happy alien, Takopi, lands on Earth with one mission: to spread happiness! When he meets Shizuka, a lonely fourth grader, he vows to bring back her smile using his magical Happy Gadgets. But as he uncovers the pain in her life, Takopi learns that true happiness may require more than gadgets.",https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx185407-7uzY4fA3hokP.jpg,06-28-2025
185660,Dandadan 2nd Season,DAN DA DAN Season 2,12.0,24,8.2,470,"Action, Comedy, Drama, Romance, Sci-Fi, Supernatural","The second season of Dandadan. Okarun and Jiji have made a strange discovery, while Momo finds herself under attack! What mysterious encounters await them next?!",https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx185660-uB8RUMBGovGr.jpg,07-04-2025
175914,Yofukashi no Uta Season 2,Call of the Night Season 2,12.0,23,8.0,409,"Comedy, Psychological, Romance, Slice of Life, Supernatural","The second season of Yofukashi no Uta.
Ko overcomes his confusion about becoming a vampire and decides to ""like"" Nazuna, while Nazuna resolves to make Ko ""fall in love"" with her. Without understanding what ""love"" even is, the two of them spend their nights together in a frenzy. Meanwhile, Detective Uguisu Anko is closing in with her plot to kill vampires, not just Nazuna. A vampire's weakness is ""anything they were attached to when they were human"" and so they all try to get rid of this weakness before it's too late. But, Nazuna has no memory of her human life. What is Nazuna's hidden past? Why did Anko start killing vampires? And what is the ""secret"" that Nazuna and Anko share? For Ko, Nazuna, Anko, a fun ""late night"" doesn't end here... a new ""night"" begins!",https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx175914-VsbL90WzuqoM.jpg,07-04-2025
177474,Tougen Anki,TOUGEN ANKI,24.0,24,6.7,312,"Action, Mystery, Supernatural","The bloodlines of “Oni” and “Momotarou” have been passed down among certain humans for generations.
Long ago, the Oni, aware of their own ferocity, lived in seclusion. However, their peace was shattered by an invasion led by Momotarou.
Over thousands of years, these two factions formed the “Momotarou Agency” and the “Oni Agency,” respectively, and have been locked in conflict ever since.
The protagonist, Shiki Ichinose, suddenly learns of his Oni lineage following an unexpected attack by Momotarou. This revelation sets Shiki on a path to discover the destiny that lies within his blood — a meeting with the Oni dwelling within him.
—A new generation of dark heroics begins here in this tale of demons!",https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx177474-oHil1yLWldfl.jpg,07-11-2025
186052,Mizu Zokusei no Mahou Tsukai,The Water Magician,12.0,24,6.8,243,"Action, Adventure, Fantasy","Ryou is delighted to be reincarnated into the fantastical world of Phi, where he thinks he’ll get to live a quiet life learning to use his newfound water magic. Going with the flow here, however, means something very different. Ryou is immediately pitted against the wild lands he winds up in and the slew of deadly monsters that call the remote subcontinent home. You’d think he’d forget about taking it easy when he’s stuck fighting for his life, but lucky for Ryou, he’s naturally optimistic, clever, and blessed with the hidden “Eternal Youth” trait. Twenty years pass in the blink of an eye, and each encounter along the way pushes him one step closer to the pinnacle of human magic. Little does he realize that’s only the opening chapter of his tale. A fateful meeting soon thrusts Ryou to the forefront of history, forever changing the course of his life... Thus begins the adventures of the strongest water magician the world has ever seen—who also likes to do things at his own pace!",https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx186052-zq8h0Qo0O0sP.jpg,07-04-2025
189117,Dr. STONE: SCIENCE FUTURE Part 2,Dr. STONE SCIENCE FUTURE Cour 2,12.0,24,7.9,174,"Action, Adventure, Comedy, Sci-Fi",The second cour of the fourth season of Dr.STONE.,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx189117-EJQHOFjLoK2k.png,07-10-2025
179879,Zutaboro Reijou wa Ane no Moto Konyakusha ni Dekiai Sareru,Betrothed to My Sister's Ex,12.0,24,6.8,171,"Drama, Romance","Marie, the second daughter of a poor baron’s household, is treated like a servant by her parents. Even at Marie’s birthday party, her beautiful elder sister, Anastasia, is the star. Outside, Marie bumps into Count Kyuros Granado, who falls for her at first sight. Yet, due to a misunderstanding, the Count proposes to Anastasia. After a tragic accident, Marie must marry the count instead!",https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx179879-569v3MdQeVmt.jpg,07-05-2025
169420,Watari-kun no xx ga Houkai Sunzen,Watari-kun's ****** Is about to Collapse,,23,5.9,133,"Comedy, Drama, Romance, Slice of Life","Naoto Watari lives solely for his little sister, Suzushiro, until his chaotic childhood friend, Satsuki, storms back into his life. Without uttering a single word, her very presence ignites buried memories and unravels his rigid routine. As tensions rise and secrets surface, Naoto’s devotion to Suzushiro clashes with unresolved pain, threatening to collapse his fragile world.",https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx169420-u4wDhHlTfX9P.jpg,07-05-2025
21,ONE PIECE,ONE PIECE,,24,8.8,101,"Action, Adventure, Comedy, Drama, Fantasy","Gold Roger was known as the Pirate King, the strongest and most infamous being to have sailed the Grand Line. The capture and death of Roger by the World Government brought a change throughout the world. His last words before his death revealed the location of the greatest treasure in the world, One Piece. It was this revelation that brought about the Grand Age of Pirates, men who dreamed of finding One Piece (which promises an unlimited amount of riches and fame), and quite possibly the most coveted of titles for the person who found it, the title of the Pirate King.
Enter Monkey D. Luffy, a 17-year-old boy that defies your standard definition of a pirate. Rather than the popular persona of a wicked, hardened, toothless pirate who ransacks villages for fun, Luffy’s reason for being a pirate is one of pure wonder; the thought of an exciting adventure and meeting new and intriguing people, along with finding One Piece, are his reasons of becoming a pirate. Following in the footsteps of his childhood hero, Luffy and his crew travel across the Grand Line, experiencing crazy adventures, unveiling dark mysteries and battling strong enemies, all in order to reach One Piece.
*This includes following special episodes:
- Chopperman to the Rescue! Protect the TV Station by the Shore! (Episode 336)
- The Strongest Tag-Team! Luffy and Toriko's Hard Struggle! (Episode 492)
- Team Formation! Save Chopper (Episode 542)
- History's Strongest Collaboration vs. Glutton of the Sea (Episode 590)
- 20th Anniversary! Special Romance Dawn (Episode 907)",https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx21-ELSYx3yMPcKM.jpg,10-20-1999
174188,Nukitashi THE ANIMATION,Nukitashi THE ANIMATION,11.0,24,7.0,94,"Action, Comedy, Drama, Ecchi, Romance","The island of the everlasting summer, Seiran Island.
Junnosuke Tachibana, whose family home was on this island, returned to it with his sister, Asane Tachibana, after the death of their parents.
However, Seiran Island has become a place of madness due to the implementation of the “Perverted Law,” a law designed to combat population decline. This law permits and even encourages lewd sex acts everywhere on the island, and refusing to engage in “reproductive activities” is punished almost as severely as a crime.
Junnosuke, a proud virgin and staunch defender of virginity, questions the legitimacy of this law. Determined to protect both his and his beloved sister’s purity, he forms the anti-copulation front NLNS (No Love No Sex) and sets out to destroy the Perveted Law once and for all.
“I’ll… destroy the Perverted Law!”",https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx174188-fZg8iePD9Dca.jpg,07-19-2025
178869,Clevatess: Majuu no Ou to Akago to Kabane no Yuusha,Clevatess,12.0,24,7.5,79,"Action, Drama, Fantasy","The story centers on the the titular Clevatess, the lord of Dark Beasts, who wields both uncanny intellect and destructive power. Frustrated by the 13 heroes tasked to destroy him, he has decided to be rid of humanity once and for all. However, he has been charged with one nuisance: he revived a hero he personally slayed and adopts an orphaned humanoid baby—the last hope to save a dying world. The world stands upon the brink of Armageddon, with the obligation of raising one child holding it all back. Now bound together, what fate awaits this unlikely trio?",https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx178869-qiEz0gQD8H5N.png,07-02-2025
181444,Kaoru Hana wa Rin to Saku,The Fragrant Flower Blooms With Dignity,13.0,24,8.6,78,"Comedy, Drama, Romance","Chidori High is a boys’ school that takes in the dregs of society with the lowest grades. Next door stands Kikyo Girls’ High, where the wealthy, high-class families send their precious daughters. Chidori second-year Rintaro, who has a fierce face but a gentle heart, is helping at his family’s patisserie when he meets a girl named Kaoruko. The two hit it off right away…but this blissful peace is quickly disturbed when Rintaro discovers that Kaoruko is actually a student at Kikyo. Worse, she doesn’t seem to realize what a huge problem this really is! Will these two be able to forge a path for themselves, and sidestep the traps (metaphorical and literal) laid by their classmates?",https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx181444-Ut9DDUZdfHwg.jpg,07-06-2025
154768,Sono Bisque Doll wa Koi wo Suru Season 2,My Dress-Up Darling Season 2,12.0,24,8.2,75,"Comedy, Ecchi, Romance, Slice of Life","The second season of Sono Bisque Doll wa Koi wo Suru.
When Marin Kitagawa and Wakana Gojo met, they grew close over their love for cosplay. Through interacting with classmates and making new cosplay friends, Marin and Wakana’s world keeps growing. New developments arise as Marin’s love for Wakana continues to be filled with endless excitement. In their ever-expanding world, Marin and Wakana’s story of cosplay and thrills continues!",https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx154768-DHHvNd4MjV1p.jpg,07-06-2025
